,gdp,suicides
426,25165,137.42999999999998
427,25570,137.73000000000002
428,29787,137.27
429,33787,131.66
430,38218,133.84
431,42566,126.42999999999999
432,46890,127.44999999999999
433,49041,127.59
434,42933,130.67
435,49974,132.67
436,54841,125.02000000000001
437,55347,127.88
438,55310,133.09
439,1658,108.91000000000003
440,1728,90.94
441,1985,89.42
442,2303,94.89999999999999
443,2599,100.44
444,2828,91.86
445,3187,98.83000000000001
446,3791,78.88
447,4006,103.17999999999999
448,4551,95.33999999999999
449,5695,108.91
450,5946,95.71000000000001
451,6368,100.13000000000001
452,6023,109.77
453,5470,111.85999999999999
454,5584,149.18000000000004
455,5020,147.58
456,4866,149.28
457,5208,153.53999999999996
458,6744,155.69
459,8256,147.43
460,10270,155.06
461,11387,150.92000000000002
462,11653,167.88
463,11062,174.3
464,13874,162.88
465,15854,160.83999999999997
466,16617,148.41000000000003
467,17140,134.52
468,15883,137.36999999999998
469,14729,147.68
470,1393,62.559999999999995
471,1366,50.11000000000001
472,1299,45.17
473,1369,50.64
474,1350,41.69
475,1346,43.43
476,1348,43.57
477,1664,49.480000000000004
478,1845,49.23
479,2646,55.95
480,2796,49.64000000000001
481,2883,53.169999999999995
482,3106,52.76999999999999
483,2814,81.67999999999999
484,2419,84.10000000000001
485,2755,89.77999999999999
486,2662,88.27
487,2613,81.38
488,2489,79.85000000000001
489,3033,84.25
490,3742,74.84
491,4095,78.41000000000001
492,5150,74.25000000000001
493,5971,74.22
494,5643,73.83
495,6836,67.24000000000001
496,7885,62.879999999999995
497,8586,66.45
498,8731,63.529999999999994
499,8591,66.62
500,6552,70.39999999999999
501,2145,69.46
502,2389,89.84
503,2433,85.56000000000002
504,2460,88.98
505,2686,84.76999999999998
506,2817,93.27000000000002
507,2651,61.72
508,3070,72.54
509,3342,98.83
510,3562,80.79
511,3672,79.17999999999999
512,3639,94.86
513,3827,80.63000000000001
514,4046,92.09
515,4115,85.06
516,4233,88.29
517,4412,76.02999999999999
518,4485,95.61999999999999
519,4583,115.88000000000001
520,4850,100.72
521,5133,78.73
522,5716,100.83000000000001
523,6661,75.35
524,7517,72.27
525,7403,77.36999999999999
526,8906,84.35
527,9978,89.83000000000001
528,10832,80.75999999999999
529,11443,89.26
530,11485,70.85
531,4978,305.53999999999996
532,5610,334.79
533,5546,313.70000000000005
534,6015,344.30000000000007
535,5459,327.28000000000003
536,5288,322.74999999999994
537,5571,287.54
538,6373,304.12
539,8202,281.68999999999994
540,9829,302.24
541,10722,269.56999999999994
542,11914,248.21999999999997
543,14204,243.45
544,16680,265.69
545,14872,254.29
546,14232,241.97
547,14890,221.10999999999999
548,13952,239.01
549,14362,210.29999999999998
550,14299,222.04
551,12351,229.68000000000004
552,12905,213.55999999999997
553,2227,369.71
554,2236,392.92999999999995
555,2820,363.31
556,2993,352.76
557,2443,316.23
558,2472,317.4
559,2497,326.97999999999996
560,2741,306.12
561,2940,272.77000000000004
562,3037,244.51000000000002
563,3205,240.42000000000002
564,3409,221.12
565,3611,216.12
566,4017,205.93999999999997
567,4951,202.55
568,5488,188.18000000000004
569,5686,190.98999999999998
570,5797,201.32999999999996
571,5997,202.13
572,6419,207.05
573,6791,203.99999999999997
574,7148,190.46
575,7459,184.63
576,8044,194.31
577,12389,1.57
578,11635,8.36
579,25227,9.17
580,26671,24.74
581,28600,27.64
582,33048,36.17
583,37267,59.07000000000001
584,33816,55.53
585,32477,58.879999999999995
586,34249,43.78
587,30752,42.9
588,29624,64.61000000000001
